class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
12,Bobolink,1,661,black v on the back,2.3282060027122498,30
12,Bobolink,2,217,black and white striped head,1.7919873541841904,30
12,Bobolink,3,207,black head and back,0.9406349579493205,30
12,Bobolink,4,93,white throat and belly,0.7254546937222283,30
12,Bobolink,5,504,small round body,0.4830635005608201,30
12,Bobolink,6,418,black back,0.4038814023137093,30
12,Bobolink,7,399,small sparrow like bird,0.026270157572192452,30
12,Bobolink,8,7,yellow bill,0.0,30
12,Bobolink,9,3,raucous call,0.0,30
12,Bobolink,10,8,small beak,0.0,30
