class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
13,Indigo Bunting,1,192,thin pointed beak,2.6820265968640644,30
13,Indigo Bunting,2,474,white streaks on the wings,2.230622323354085,30
13,Indigo Bunting,3,659,short beak,1.228400973478953,30
13,Indigo Bunting,4,612,blue plumage,0.7879252731800079,30
13,Indigo Bunting,5,299,small bird,0.7423623810211818,30
13,Indigo Bunting,6,667,blue body,0.6449577778577804,30
13,Indigo Bunting,7,7,yellow bill,0.0,30
13,Indigo Bunting,8,3,raucous call,0.0,30
13,Indigo Bunting,9,8,small beak,0.0,30
13,Indigo Bunting,10,1,wingspan of up to 3 5 feet,0.0,30
