class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
18,Gray Catbird,1,499,long flowing tail,2.638730444784822,29
18,Gray Catbird,2,88,small mouth,2.1615985968503457,29
18,Gray Catbird,3,383,gray feathers,0.8791300325558103,29
18,Gray Catbird,4,85,gray plumage,0.5565738266912,29
18,Gray Catbird,5,3,raucous call,0.0,29
18,Gray Catbird,6,7,yellow bill,0.0,29
18,Gray Catbird,7,8,small beak,0.0,29
18,Gray Catbird,8,1,wingspan of up to 3 5 feet,0.0,29
18,Gray Catbird,9,4,fast erratic flight patterns,0.0,29
18,Gray Catbird,10,9,rusty brown feathers,0.0,29
