class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
5,Least Auklet,1,212,black cap and back,3.805930592797019,11
5,Least Auklet,2,2,white face and underparts,2.365430311723189,11
5,Least Auklet,3,118,webbed toes,2.1558228080922905,11
5,Least Auklet,4,254,short black bill,1.90912757136605,11
5,Least Auklet,5,207,black head and back,1.3594344420866533,11
5,Least Auklet,6,175,black legs and feet,0.2869207561016083,11
5,Least Auklet,7,7,yellow bill,0.0,11
5,Least Auklet,8,3,raucous call,0.0,11
5,Least Auklet,9,8,small beak,0.0,11
5,Least Auklet,10,1,wingspan of up to 3 5 feet,0.0,11
