class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
6,Parakeet Auklet,1,470,short stubby beak,5.025894849196725,23
6,Parakeet Auklet,2,68,black head and upperparts,4.668076453001603,23
6,Parakeet Auklet,3,493,black wings with white spots,1.218902764113053,23
6,Parakeet Auklet,4,48,small sparrow like body,0.9141791540643444,23
6,Parakeet Auklet,5,207,black head and back,0.7264582786871039,23
6,Parakeet Auklet,6,7,yellow bill,0.0,23
6,Parakeet Auklet,7,3,raucous call,0.0,23
6,Parakeet Auklet,8,8,small beak,0.0,23
6,Parakeet Auklet,9,1,wingspan of up to 3 5 feet,0.0,23
6,Parakeet Auklet,10,4,fast erratic flight patterns,0.0,23
