class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
9,Red winged Blackbird,1,599,yellow bar on wing,4.777010989189148,30
9,Red winged Blackbird,2,602,red shoulders,4.431848843892415,30
9,Red winged Blackbird,3,471,all black body,1.2859888792037963,30
9,Red winged Blackbird,4,657,long black beak,0.5184346228837967,30
9,Red winged Blackbird,5,435,webbed feet,0.2979781498511632,30
9,Red winged Blackbird,6,209,long black tail,0.11095823037127654,30
9,Red winged Blackbird,7,586,long legs,0.10168682759006818,30
9,Red winged Blackbird,8,7,yellow bill,0.0,30
9,Red winged Blackbird,9,3,raucous call,0.0,30
9,Red winged Blackbird,10,8,small beak,0.0,30
