source,target,value
large wingspan,Black footed Albatross,4.148253758748372
black feet,Black footed Albatross,1.799987647930781
long wings,Black footed Albatross,1.6027728041013083
dark wingtips,Black footed Albatross,1.5733184258143107
yellow beak,Black footed Albatross,1.1153813779354096
white body,Black footed Albatross,0.44652102291584017
yellow bill,Black footed Albatross,0.34349290827910106
large size,Black footed Albatross,0.06114336848258972
small sparrow like body,Black footed Albatross,0.01153249959461391
streaked chest,Black footed Albatross,0.01120098902999113
large white bird,Laysan Albatross,3.6093365947405496
wingspan of up to 3 5 feet,Laysan Albatross,3.0206222931543985
long white legs,Laysan Albatross,2.3890241543451944
long hooked beak,Laysan Albatross,1.8396212796370188
long yellow bill,Laysan Albatross,0.6400827457507451
white body,Laysan Albatross,0.38242320766051613
yellow bill,Laysan Albatross,0.0
raucous call,Laysan Albatross,0.0
small beak,Laysan Albatross,0.0
fast erratic flight patterns,Laysan Albatross,0.0
large black bird,Sooty Albatross,2.770220254148756
glossy black wings,Sooty Albatross,2.548460296222142
white wingtips,Sooty Albatross,2.4263208338192532
long wingspan,Sooty Albatross,2.15649020246097
all dark plumage,Sooty Albatross,1.4366429511989867
long slim body,Sooty Albatross,0.7306490370205471
yellow bill,Sooty Albatross,0.0
raucous call,Sooty Albatross,0.0
small beak,Sooty Albatross,0.0
wingspan of up to 3 5 feet,Sooty Albatross,0.0
red eye,Groove billed Ani,5.015980855623881
blue sheen on the wings,Groove billed Ani,3.429676723480225
orange eyes,Groove billed Ani,2.7775965372721356
black plumage,Groove billed Ani,1.1890364329020182
long curved beak,Groove billed Ani,0.24924929464856785
tail with white bars,Groove billed Ani,0.05581332494815191
large stocky bird,Groove billed Ani,0.023688502764950197
grayish brown plumage,Groove billed Ani,0.0024734935349745987
yellow bill,Groove billed Ani,0.0
raucous call,Groove billed Ani,0.0
black back and wings,Crested Auklet,5.541449836322239
dark gray or black upperparts,Crested Auklet,2.3897279500961304
black legs and feet,Crested Auklet,1.4301980776446206
white breast and belly,Crested Auklet,0.4733244457415172
black or dark gray plumage,Crested Auklet,0.1503491848707199
black bill,Crested Auklet,0.09594082220324449
long black tail,Crested Auklet,0.0572346013837627
blue gray back,Crested Auklet,0.051805326116404364
blue back,Crested Auklet,0.03433485867987786
yellowish stripes on the wings,Crested Auklet,0.03298539535275528
black cap and back,Least Auklet,3.805930592797019
white face and underparts,Least Auklet,2.365430311723189
webbed toes,Least Auklet,2.1558228080922905
short black bill,Least Auklet,1.90912757136605
black head and back,Least Auklet,1.3594344420866533
black legs and feet,Least Auklet,0.2869207561016083
yellow bill,Least Auklet,0.0
raucous call,Least Auklet,0.0
small beak,Least Auklet,0.0
wingspan of up to 3 5 feet,Least Auklet,0.0
short stubby beak,Parakeet Auklet,5.025894849196725
black head and upperparts,Parakeet Auklet,4.668076453001603
black wings with white spots,Parakeet Auklet,1.218902764113053
small sparrow like body,Parakeet Auklet,0.9141791540643444
black head and back,Parakeet Auklet,0.7264582786871039
yellow bill,Parakeet Auklet,0.0
raucous call,Parakeet Auklet,0.0
small beak,Parakeet Auklet,0.0
wingspan of up to 3 5 feet,Parakeet Auklet,0.0
fast erratic flight patterns,Parakeet Auklet,0.0
short thick beak,Rhinoceros Auklet,2.780163483487235
large bulbous beak,Rhinoceros Auklet,2.7794665098190308
short wings,Rhinoceros Auklet,2.002308987908893
black head and neck,Rhinoceros Auklet,1.8379856944084167
orange eyes,Rhinoceros Auklet,0.9916829417149226
black and white color scheme,Rhinoceros Auklet,0.9118152956167856
white plumage,Rhinoceros Auklet,0.28183418033748037
large stocky body,Rhinoceros Auklet,0.20149449714356
yellow bill,Rhinoceros Auklet,0.0
raucous call,Rhinoceros Auklet,0.0
yellow or orange beak,Brewer Blackbird,4.2508543985230585
yellow eye,Brewer Blackbird,2.802821491445814
black wings,Brewer Blackbird,2.143738995705332
black beak,Brewer Blackbird,0.3979542760976723
black body,Brewer Blackbird,0.3603895620575973
white wing bars,Brewer Blackbird,0.2515661358068298
grayish wings,Brewer Blackbird,0.058517156434910636
long pointed bill,Brewer Blackbird,0.05296139814890921
white breast,Brewer Blackbird,0.04281259449531457
black and white barred tail,Brewer Blackbird,0.03019862377550453
yellow bar on wing,Red winged Blackbird,4.777010989189148
red shoulders,Red winged Blackbird,4.431848843892415
all black body,Red winged Blackbird,1.2859888792037963
long black beak,Red winged Blackbird,0.5184346228837967
webbed feet,Red winged Blackbird,0.2979781498511632
long black tail,Red winged Blackbird,0.11095823037127654
long legs,Red winged Blackbird,0.10168682759006818
yellow bill,Red winged Blackbird,0.0
raucous call,Red winged Blackbird,0.0
small beak,Red winged Blackbird,0.0
small blackbird like bird,Rusty Blackbird,5.087626584370931
rusty brown feathers,Rusty Blackbird,1.9820829391479493
all black plumage,Rusty Blackbird,1.5635147094726562
black legs,Rusty Blackbird,0.8739540102581184
yellow or orange beak,Rusty Blackbird,0.09725000963856777
long black tail,Rusty Blackbird,0.08736242937544982
blue back,Rusty Blackbird,0.07888025611367387
long legs,Rusty Blackbird,0.04796444463233153
white underwings,Rusty Blackbird,0.04376574244039754
blue and white plumage,Rusty Blackbird,0.03321751632417242
yellow head,Yellow headed Blackbird,4.334837840153621
long black wings,Yellow headed Blackbird,2.612172713646522
black wings,Yellow headed Blackbird,1.303426864055487
black legs,Yellow headed Blackbird,1.0668867986935835
long black beak,Yellow headed Blackbird,0.5293291532076322
black body,Yellow headed Blackbird,0.5009022114368585
black beak,Yellow headed Blackbird,0.46479516934890014
yellow bill,Yellow headed Blackbird,0.0
raucous call,Yellow headed Blackbird,0.0
small beak,Yellow headed Blackbird,0.0
black v on the back,Bobolink,2.795881462097168
black and white striped head,Bobolink,2.577199451625347
white throat and belly,Bobolink,1.1480346123377483
small round body,Bobolink,1.1071277504165968
black head and back,Bobolink,0.854771402478218
black back,Bobolink,0.68253900979956
yellow breast,Bobolink,0.548826598127683
long black tail,Bobolink,0.48771898945172626
small sparrow like bird,Bobolink,0.3441791206598282
white chest,Bobolink,0.1810649144773682
thin pointed beak,Indigo Bunting,4.877565844853719
white streaks on the wings,Indigo Bunting,3.446690837542216
short beak,Indigo Bunting,2.283678877353668
small bird,Indigo Bunting,0.94390061100324
black mask around the eyes,Indigo Bunting,0.683764691154162
blue plumage,Indigo Bunting,0.5319515516360601
blue body,Indigo Bunting,0.03857198444505532
yellow bill,Indigo Bunting,0.0
raucous call,Indigo Bunting,0.0
small beak,Indigo Bunting,0.0
blue wings with white bars,Lazuli Bunting,2.659270090716226
thin black bill,Lazuli Bunting,2.6023810718740736
small blue bird,Lazuli Bunting,2.5444742143154144
black collar,Lazuli Bunting,1.3994040584989957
white wing bar,Lazuli Bunting,1.0876119786075182
white chest and belly,Lazuli Bunting,0.9800429386751992
black line through the eye,Lazuli Bunting,0.5844784490764141
yellow bill,Lazuli Bunting,0.0
raucous call,Lazuli Bunting,0.0
small beak,Lazuli Bunting,0.0
short pointed beak,Painted Bunting,4.2528711174215585
blue head,Painted Bunting,4.183445538793292
green back,Painted Bunting,2.1892900530781065
short stout bill,Painted Bunting,1.0997638627886772
small songbird,Painted Bunting,0.4239103759505919
yellow bill,Painted Bunting,0.0
raucous call,Painted Bunting,0.0
small beak,Painted Bunting,0.0
wingspan of up to 3 5 feet,Painted Bunting,0.0
fast erratic flight patterns,Painted Bunting,0.0
red feathers,Cardinal,3.3909650996879295
black eyes,Cardinal,3.0297449827194214
red body,Cardinal,2.262219689510487
black face,Cardinal,2.039276436523155
